Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
United States,1,2,4591,3316,0.02%,0.06%,11.91,6.37
Canada,1,0,6,2,16.67%,0%,49.5,75
India,0,0,12,8,0%,0%,37.75,60.12
Ireland,0,0,12,0,0%,0%,59.17,0
United Kingdom,0,0,11,5,0%,0%,41.27,31.6
South Africa,0,0,11,0,0%,0%,43.73,0
Australia,0,0,3,1,0%,0%,62.67,9
Philippines,0,0,2,0,0%,0%,2,0
Romania,0,0,2,0,0%,0%,11.5,0
Sweden,0,0,2,0,0%,0%,12,0
France,0,0,2,2,0%,0%,16,37
Italy,0,0,1,1,0%,0%,1,11
Portugal,0,0,1,0,0%,0%,1,0
Austria,0,0,1,0,0%,0%,12,0
Mexico,0,0,1,0,0%,0%,13,0
Poland,0,0,1,0,0%,0%,13,0
Bulgaria,0,0,1,0,0%,0%,14,0
Netherlands,0,0,1,0,0%,0%,14,0
Venezuela,0,0,1,0,0%,0%,14,0
Panama,0,0,1,0,0%,0%,33,0
Iraq,0,0,0,1,0%,0%,0,1
Bangladesh,0,0,0,1,0%,0%,0,4
Brazil,0,0,0,1,0%,0%,0,16
Denmark,0,0,0,1,0%,0%,0,84
