Date,Clicks,Impressions,CTR,Position
2026-03-15,1,4,25%,4
2026-03-16,0,11,0%,46.7
2026-03-17,0,10,0%,38
2026-03-18,0,7,0%,63.3
2026-03-19,0,9,0%,46.1
2026-03-20,1,27,3.7%,43.3
2026-03-21,0,7,0%,52.1
2026-03-22,0,12,0%,36.8
2026-03-23,0,66,0%,17.2
2026-03-24,0,38,0%,23.6
2026-03-25,0,38,0%,20.5
2026-03-26,0,53,0%,14.6
2026-03-27,0,72,0%,17.9
2026-03-28,0,47,0%,13.8
2026-03-29,0,54,0%,16.1
2026-03-30,0,84,0%,15.9
2026-03-31,0,57,0%,21.2
2026-04-01,0,21,0%,22.1
2026-04-02,0,39,0%,14.7
2026-04-03,0,13,0%,25.6
2026-04-04,0,14,0%,24.1
2026-04-05,0,26,0%,19.6
2026-04-06,0,32,0%,17.8
2026-04-07,0,26,0%,18.8
2026-04-08,0,16,0%,28.9
2026-04-09,0,29,0%,12.6
2026-04-10,0,24,0%,16.5
2026-04-11,0,20,0%,19.1
2026-04-12,0,20,0%,15.6
2026-04-13,0,25,0%,24
2026-04-14,0,44,0%,19
2026-04-15,0,34,0%,13.1
2026-04-16,0,53,0%,9
2026-04-17,0,70,0%,8.4
2026-04-18,0,135,0%,6.7
2026-04-19,0,49,0%,10.3
2026-04-20,0,93,0%,15
2026-04-21,0,65,0%,9.9
2026-04-22,0,36,0%,10.3
2026-04-23,0,45,0%,9.1
2026-04-24,0,63,0%,11.5
2026-04-25,0,90,0%,8.4
2026-04-26,0,83,0%,7.3
2026-04-27,1,64,1.56%,12.9
2026-04-28,0,89,0%,8
2026-04-29,0,115,0%,5.1
2026-04-30,0,162,0%,4.8
2026-05-01,0,159,0%,5
2026-05-02,0,169,0%,4.4
2026-05-03,0,174,0%,5.1
2026-05-04,0,136,0%,10.8
2026-05-05,0,153,0%,8.3
2026-05-06,0,137,0%,4.3
2026-05-07,0,172,0%,5.7
2026-05-08,1,161,0.62%,4.1
2026-05-09,0,145,0%,4.2
2026-05-10,0,167,0%,4.3
2026-05-11,0,152,0%,5.3
2026-05-12,0,146,0%,4.9
2026-05-13,0,133,0%,5.5
2026-05-14,0,150,0%,5.6
2026-05-15,0,112,0%,6.5
2026-05-16,0,66,0%,6.3
2026-05-17,0,102,0%,13.2
2026-05-18,0,109,0%,13.4
2026-05-19,0,48,0%,17
2026-05-20,0,43,0%,10.7
2026-05-21,0,64,0%,14.3
2026-05-22,0,72,0%,18.9
2026-05-23,0,108,0%,13.2
2026-05-24,0,225,0%,12.6
2026-05-25,0,233,0%,12.1
2026-05-26,0,216,0%,14.1
2026-05-27,0,200,0%,14.7
2026-05-28,0,169,0%,14.2
2026-05-29,0,132,0%,10.4
2026-05-30,0,169,0%,10.8
2026-05-31,0,140,0%,12.7
2026-06-01,0,151,0%,15
2026-06-02,0,126,0%,11.4
2026-06-03,0,144,0%,10.2
2026-06-04,0,199,0%,14
2026-06-05,0,156,0%,12.8
2026-06-06,0,142,0%,11.4
2026-06-07,0,134,0%,13.7
2026-06-08,1,141,0.71%,11.9
2026-06-09,1,157,0.64%,10
2026-06-10,0,187,0%,12.7
2026-06-11,0,270,0%,11.9
2026-06-12,0,289,0%,11
2026-06-13,0,307,0%,10.7
2026-06-14,0,332,0%,10
