Country,Clicks,Impressions,CTR,Position
United States,5,9184,0.05%,10.63
Canada,1,10,10%,57.1
India,0,21,0%,46.33
United Kingdom,0,17,0%,41.76
Ireland,0,12,0%,59.17
South Africa,0,11,0%,43.73
France,0,5,0%,36.6
Australia,0,4,0%,49.25
Philippines,0,2,0%,2
Italy,0,2,0%,6
Brazil,0,2,0%,8.5
Romania,0,2,0%,11.5
Sweden,0,2,0%,12
Iraq,0,1,0%,1
Portugal,0,1,0%,1
Bangladesh,0,1,0%,4
Singapore,0,1,0%,9
Uganda,0,1,0%,11
Austria,0,1,0%,12
Mexico,0,1,0%,13
Poland,0,1,0%,13
Bulgaria,0,1,0%,14
Netherlands,0,1,0%,14
Venezuela,0,1,0%,14
Panama,0,1,0%,33
Ukraine,0,1,0%,55
Denmark,0,1,0%,84
